,tweet_id,favorites,retweets
0,892420643555336193,38915,8627
1,892177421306343426,33326,6336
2,891815181378084864,25102,4207
3,891689557279858688,42268,8745
4,891327558926688256,40427,9507
5,891087950875897856,20275,3150
6,890971913173991426,11890,2099
7,890729181411237888,65756,19118
8,890609185150312448,27854,4316
9,890240255349198849,32040,7503
10,890006608113172480,30749,7426
11,889880896479866881,27871,5024
12,889665388333682689,48243,10179
13,889638837579907072,27262,4594
14,889531135344209921,15131,2262
15,889278841981685760,25388,5496
16,888917238123831296,29171,4553
17,888804989199671297,25680,4395
18,888554962724278272,19983,3622
19,888078434458587136,21832,3536
20,887705289381826560,30292,5453
21,887517139158093824,46386,11794
22,887473957103951883,69326,18435
23,887343217045368832,33790,10520
24,887101392804085760,30645,6031
25,886983233522544640,35269,7847
26,886736880519319552,12108,3337
27,886680336477933568,22498,4522
28,886366144734445568,21186,3221
29,886267009285017600,116,4
30,886258384151887873,28045,6368
31,886054160059072513,0,105
32,885984800019947520,32814,6890
33,885528943205470208,36118,6516
34,885518971528720385,20489,3804
35,885311592912609280,0,18781
36,885167619883638784,22013,4431
37,884925521741709313,77801,18663
38,884876753390489601,28035,5862
39,884562892145688576,24374,4934
40,884441805382717440,27082,5721
41,884247878851493888,73237,20663
42,884162670584377345,20447,3027
43,883838122936631299,21974,3488
44,883482846933004288,46094,10079
45,883360690899218434,22628,3730
46,883117836046086144,37350,6754
47,882992080364220416,24028,3981
48,882762694511734784,28401,4988
49,882627270321602560,27966,6170
50,882268110199369728,45121,11753
51,882045870035918850,29459,5048
52,881906580714921986,24371,3435
53,881666595344535552,50712,10809
54,881633300179243008,127,7
55,881536004380872706,49628,16183
56,881268444196462592,23141,5210
57,880935762899988482,17062,2814
58,880872448815771648,21369,3866
59,880465832366813184,28623,6368
60,880221127280381952,27161,4287
61,880095782870896641,27713,4413
62,879862464715927552,22373,3544
63,879674319642796034,314,10
64,879492040517615616,23481,3224
65,879415818425184262,106261,44762
66,879376492567855104,16821,3159
67,879130579576475649,0,6939
68,879050749262655488,22662,4780
69,879008229531029506,19030,2730
70,878776093423087618,19440,4181
71,878604707211726852,30386,7348
72,878404777348136964,0,1312
73,878316110768087041,0,6762
74,878281511006478336,7781,1312
75,878057613040115712,42197,6939
76,877736472329191424,80294,19467
77,877611172832227328,0,81
78,877556246731214848,22855,3887
79,877316821321428993,27455,5258
80,877201837425926144,27246,5690
81,876838120628539392,20764,3416
82,876537666061221889,23535,4684
83,876484053909872640,18847,2442
84,876120275196170240,28042,4775
85,875747767867523072,25310,4366
86,875144289856114688,22017,5009
87,875097192612077568,27535,6148
88,875021211251597312,25600,4796
89,874680097055178752,27991,4727
90,874434818259525634,0,15063
91,874296783580663808,26202,4194
92,874057562936811520,22770,4031
93,874012996292530176,34897,10672
94,873580283840344065,24397,4029
95,873337748698140672,0,1621
96,873213775632977920,7313,1621
97,872967104147763200,27559,5513
98,872820683541237760,14818,3779
99,872668790621863937,0,28
100,872620804844003328,20936,3790
101,872486979161796608,40988,9202
102,872261713294495745,34506,6477
103,872122724285648897,34729,8314
104,871879754684805121,38388,11501
105,871762521631449091,20442,3566
106,871515927908634625,20397,3539
107,871166179821445120,0,5827
